taxonomy_pk,population_pk,name_date,reference_source,version_taxa
TRATAX001,TRAPOP001,,,
TRATAX001,TRAPOP002,,,
TRATAX001,TRAPOP003,,,
TRATAX001,TRAPOP004,,,
TRATAX001,TRAPOP005,,,
TRATAX002,TRAPOP006,,,
TRATAX003,TRAPOP007,,,
TRATAX004,TRAPOP008,,,
TRATAX004,TRAPOP009,,,
TRATAX005,TRAPOP010,,,
TRATAX006,TRAPOP011,,,
TRATAX007,TRAPOP012,,,
TRATAX008,TRAPOP013,,,
TRATAX009,TRAPOP014,,,
TRATAX010,TRAPOP015,,,
TRATAX011,TRAPOP016,,,
TRATAX012,TRAPOP017,,,
TRATAX013,TRAPOP018,,,
TRATAX014,TRAPOP019,,,
TRATAX015,TRAPOP020,,,
TRATAX012,TRAPOP021,,,
TRATAX016,TRAPOP022,,,
TRATAX017,TRAPOP023,,,
TRATAX018,TRAPOP024,,,
TRATAX019,TRAPOP025,,,
TRATAX020,TRAPOP026,,,
TRATAX006,TRAPOP027,,,
TRATAX006,TRAPOP028,,,
TRATAX021,TRAPOP029,,,
TRATAX022,TRAPOP030,,,
TRATAX023,TRAPOP031,,,
TRATAX024,TRAPOP032,,,
TRATAX024,TRAPOP033,,,
TRATAX024,TRAPOP034,,,
TRATAX024,TRAPOP035,,,
TRATAX024,TRAPOP036,,,
TRATAX024,TRAPOP037,,,
TRATAX024,TRAPOP038,,,
TRATAX024,TRAPOP039,,,
TRATAX024,TRAPOP040,,,
TRATAX024,TRAPOP041,,,
TRATAX024,TRAPOP042,,,
TRATAX024,TRAPOP043,,,
TRATAX024,TRAPOP044,,,
TRATAX017,TRAPOP045,,,
TRATAX025,TRAPOP046,,,
TRATAX026,TRAPOP047,,,
TRATAX027,TRAPOP048,,,
TRATAX028,TRAPOP049,,,
TRATAX029,TRAPOP050,,,
TRATAX005,TRAPOP051,,,
TRATAX027,TRAPOP052,,,
TRATAX030,TRAPOP053,,,
TRATAX030,TRAPOP054,,,
TRATAX019,TRAPOP055,,,
TRATAX023,TRAPOP056,,,
TRATAX031,TRAPOP057,,,
TRATAX031,TRAPOP058,,,
TRATAX031,TRAPOP059,,,
TRATAX027,TRAPOP060,,,
TRATAX032,TRAPOP061,,,
TRATAX033,TRAPOP062,,,
TRATAX034,TRAPOP063,,,
TRATAX035,TRAPOP064,,,
TRATAX036,TRAPOP065,,,
TRATAX027,TRAPOP066,,,
